# Ca = 39.5				
# De = 1.7				
# vol_rat = 0.83				
# strain_rate = 0.76				
# Note: time is non-dimensionalized by strain rate				
# Note: length is non-dimensionalized by initial length				
time	Ca_x	D	L_x	L_y
0.2508	2.676846934	0.3504273504	0	0
0.5016	5.341393459	0.3827893175	-0.01687763713	-0.08771929825
0.7524	7.981395688	0.3713784021	-0.01139240506	-0.05789473684
1.0032	10.58472252	0.3626097867	-0.01808318264	-0.04511278195
1.254	13.13941138	0.359062042	-0.02180028129	-0.04093567251
1.5048	15.63372318	0.3567540821	-0.0358649789	-0.04970760234
1.7556	18.0561963	0.342843089	-0.04008438819	-0.02339181287
2.0064	20.39569919	0.332345679	-0.05133614627	-0.01169590643
2.2572	22.64148158	0.3230462917	-0.06540084388	-0.005847953216
2.508	24.78322385	0.3050075873	-0.09282700422	0.004385964912
2.7588	26.81108446	0.2891139241	-0.1047819972	0.02631578947
3.0096	28.71574516	0.262195122	-0.1265822785	0.06140350877
3.2604	30.48845383	0.2261357836	-0.1554149086	0.1081871345
3.5112	32.12106467	0.1819579703	-0.1891701828	0.1666666667
3.762	33.60607566	0.1373737374	-0.2081575246	0.2485380117
4.0128	34.93666301	0.08971774194	-0.2398030942	0.3201754386
4.2636	36.10671251	0.02765208648	-0.2812939522	0.4137426901
4.5144	37.11084766	-0.03093812375	-0.3171589311	0.5102339181
4.7652	37.94445436	-0.08565834557	-0.3431786217	0.6213450292
5.016	38.60370208	-0.1491658489	-0.3902953586	0.7119883041
5.2668	39.08556151	-0.2142508541	-0.4338959212	0.8187134503
5.5176	39.38781845	-0.2640232108	-0.464838256	0.9108187135
5.7684	39.50908399	-0.3045563549	-0.4901547117	0.9883040936
6.0192	39.44880091	-0.3474088292	-0.5218002813	1.052631579
6.27	39.20724622	-0.3727923628	-0.5379746835	1.102339181
6.5208	38.78552988	-0.3968405936	-0.5569620253	1.133040936
6.7716	38.18558974	-0.4118773946	-0.5682137834	1.15497076
7.0224	37.41018257	-0.4302158273	-0.582278481	1.179824561
7.2732	36.46287146	-0.4332372719	-0.5850914205	1.18128655
7.524	35.34800942	-0.4285714286	-0.5808720113	1.178362573
7.7748	34.07071936	-0.4324324324	-0.5864978903	1.169590643
8.0256	32.63687056	-0.4327062229	-0.5864978903	1.171052632
8.2764	31.05305172	-0.4324455206	-0.5879043601	1.162280702
8.5272	29.32654066	-0.4396509937	-0.5935302391	1.171052632
8.778	27.4652709	-0.435648373	-0.5914205345	1.160818713
9.0288	25.47779517	-0.4396135266	-0.5921237693	1.178362573
9.2796	23.37324615	-0.4378640777	-0.5928270042	1.165204678
9.5304	21.16129447	-0.4398460058	-0.5907172996	1.187134503
9.7812	18.8521043	-0.444015444	-0.5949367089	1.187134503
10.032	16.45628661	-0.4432692308	-0.5928270042	1.194444444
10.2828	13.98485047	-0.4447646494	-0.5935302391	1.198830409
10.5336	11.44915238	-0.4422616195	-0.5907172996	1.200292398
10.7844	8.860844174	-0.4412331407	-0.5921237693	1.187134503
11.0352	6.231819403	-0.4416826004	-0.5893108298	1.204678363
11.286	3.57415873	-0.443001443	-0.5928270042	1.192982456
11.5368	0.9000744023	-0.4413033062	-0.5900140647	1.198830409
11.7876	-1.778145867	-0.440849831	-0.5928270042	1.18128655
