time,Ca_x,x_len,y_len,major_len,minor_len
0.0,-0.0,3.616119,1.3443934,3.616119,1.3443935000000002
0.01,-0.002707295577982332,3.6143478,1.3443148,3.6143478,1.3442634999999998
0.02,-0.005414571312942499,3.612651,1.3442556,3.612651,1.3441193
0.03,-0.008121807362003774,3.6110212,1.3442154,3.6110212,1.3439603
0.04,-0.010828983882580311,3.6094524,1.3441942,3.6094524,1.3437858999999999
0.05,-0.013536081032522568,3.607939,1.344192,3.607939,1.344192
0.06,-0.016243078970262753,3.606476,1.3442088,3.606476,1.3442088
0.07,-0.01894995785496025,3.605059,1.3442444,3.605059,1.3442444
0.08,-0.02165669784664702,3.6036838,1.344299,3.6036838,1.344299
0.09,-0.024363279106373054,3.602347,1.3443724,3.602347,1.3443724
0.1,-0.02706968179635176,3.6010452,1.344465,3.6010452,1.344465
0.11,-0.02977588608010536,3.5997754,1.3445768,3.5997754,1.3445768
0.12,-0.032481872122610285,3.598535,1.3447078,3.598535,1.3447078
0.13,-0.03518762009044257,3.5973212,1.3448582,3.5973212,1.3448582
0.14,-0.0378931101519232,3.5961318,1.3450282,3.5961318,1.3450282
0.15,-0.04059832247726346,3.594965,1.345218,3.594965,1.345218
0.16,-0.04330323723871034,3.5938184,1.3454278,3.5938184,1.3454278
0.17,-0.04600783461069175,3.5926904,1.3456578,3.5926904,1.3456578
0.18,-0.04871209476996194,3.5915794,1.3459084,3.5915794,1.3459084
0.19,-0.05141599789574674,3.5904838,1.3461794,3.5904838,1.3461794
0.2,-0.05411952416988882,3.589402,1.3464716,3.589402,1.3464716
0.21,-0.056822653776993,3.5883324,1.3467852,3.5883324,1.3467852
0.22,-0.059525366904571456,3.587274,1.3471202,3.587274,1.3471201999999973
0.23,-0.0622276437431889,3.5862254,1.3474772,3.5862254,1.3474772
0.24,-0.06492946448660783,3.5851854,1.3478566,3.5851854,1.3478566
0.25,-0.06763080933193369,3.5841528,1.3482584,3.5841528,1.3482584
0.26,-0.07033165847975999,3.5831266,1.3486836,3.5831266,1.3486836
0.27,-0.07303199213431343,3.5821054,1.349132,3.5821054,1.349132
0.28,-0.075731790503599,3.5810884,1.3496044,3.5810884,1.3496044
0.29,-0.07843103379954505,3.5800746,1.3501012,3.5800746,1.3501012
0.3,-0.08112970223814832,3.579063,1.3506226,3.579063,1.3506225999999997
0.31,-0.08382777603961895,3.5780524,1.3511696,3.5780524,1.3511696
0.32,-0.08652523542852544,3.5770422,1.3517422,3.5770422,1.3517422
0.33,-0.0892220606339396,3.576031,1.3523412,3.576031,1.3523412
0.34,-0.09191823188958147,3.5750182,1.352967,3.5750182,1.352967
0.35,-0.09461372943396416,3.5740028,1.3536204,3.5740028,1.3536204
0.36,-0.09730853351053882,3.5729836,1.3543018,3.5729836,1.3543018
0.37,-0.10000262436783924,3.57196,1.355012,3.57196,1.355012
0.38,-0.10269598225962678,3.5709308,1.3557516,3.5709308,1.355751599999999
0.39,-0.10538858744503501,3.5698952,1.356521,3.5698952,1.356521
0.4,-0.10808042018871447,3.568852,1.3573214,3.568852,1.3573214
0.41,-0.11077146076097724,3.5678006,1.358153,3.5678006,1.358153
0.42,-0.11346168943794163,3.5667396,1.359017,3.5667396,1.3590169999999997
0.43,-0.1161510865016767,3.5656684,1.3599138,3.5656684,1.3599137999999997
0.44,-0.11883963224034678,3.5645856,1.3608444,3.5645856,1.3608444
0.45,-0.12152730694835594,3.5634904,1.3618096,3.5634904,1.3618095999999993
0.46,-0.12421409092649244,3.5623816,1.3628104,3.5623816,1.3628104
0.47,-0.1268999644820731,3.5612582,1.3638476,3.5612582,1.3638476
0.48,-0.12958490792908778,3.5601188,1.364922,3.5601188,1.364922
0.49,-0.1322689015883433,3.5589624,1.3660346,3.5589624,1.3660346
0.5,-0.13495192578760815,3.557788,1.3671864,3.557788,1.3671864
0.51,-0.13763396086175628,3.556594,1.3683784,3.556594,1.3683784
0.52,-0.1403149871529114,3.5553794,1.3696116,3.5553794,1.3696116
0.53,-0.14299498501059119,3.5541426,1.3708872,3.5541426,1.3708872
0.54,-0.14567393479185103,3.5528826,1.3722062,3.5528826,1.3722062
0.55,-0.14835181686142832,3.5515976,1.3735698,3.5515976,1.3735698
0.56,-0.151028611591886,3.5502864,1.3749792,3.5502864,1.3749792
0.57,-0.1537042993637568,3.5489474,1.3764354,3.5489474,1.3764353999999999
0.58,-0.15637886056568676,3.5475792,1.3779396,3.5475792,1.3779395999999997
0.59,-0.15905227559457916,3.54618,1.3794932,3.54618,1.3794932
0.6,-0.161724524855738,3.544748,1.3810974,3.544748,1.3810974
0.61,-0.1643955887630118,3.5432818,1.3827536,3.5432818,1.3827536
0.62,-0.16706544773893708,3.5417796,1.384463,3.5417796,1.384463
0.63,-0.16973408221488193,3.5402392,1.3862272,3.5402392,1.3862272
0.64,-0.17240147263118918,3.5386592,1.3880472,3.5386592,1.3880472
0.65,-0.17506759943732011,3.5370372,1.3899246,3.5370372,1.3899246
0.66,-0.17773244309199757,3.5353714,1.3918608,3.5353714,1.3918608
0.67,-0.18039598406334909,3.5336598,1.3938572,3.5336598,1.3938572
0.68,-0.1830582028290504,3.5319,1.3959152,3.5319,1.3959152
0.69,-0.185719079876468,3.5300902,1.3980366,3.5300902,1.3980366
0.7,-0.18837859570280277,3.5282278,1.4002224,3.5282278,1.4002224
0.71,-0.19103673081523234,3.5263106,1.4024744,3.5263106,1.4024744
0.72,-0.19369346573105445,3.5243362,1.4047942,3.5243362,1.4047942
0.73,-0.19634878097782932,3.5223022,1.4071828,3.5223022,1.4071828
0.74,-0.19900265709352277,3.5202062,1.4096422,3.5202062,1.4096422
0.75,-0.20165507462664856,3.5180456,1.4121736,3.5180456,1.4121736
0.76,-0.2043060141364111,3.5158178,1.4147786,3.5158178,1.4147786
0.77,-0.206955456192848,3.5135202,1.4174588,3.5135202,1.4174588
0.78,-0.20960338137697224,3.51115,1.4202152,3.51115,1.4202152
0.79,-0.21224977028091477,3.5087048,1.4230498,3.5087048,1.4230498
0.8,-0.21489460350806663,3.5061816,1.4259634,3.5061816,1.4259634
0.81,-0.21753786167322117,3.5035776,1.428958,3.5035776,1.428958
0.82,-0.220179525402716,3.5008904,1.4320344,3.5008904,1.4320344
0.83,-0.2228195753345752,3.498117,1.4351942,3.498117,1.4351942
0.84,-0.225457992118651,3.4952546,1.4384386,3.4952546,1.4384386
0.85,-0.22809475641676585,3.4923006,1.4417688,3.4923006,1.4417688
0.86,-0.23072984890285395,3.489252,1.4451858,3.489252,1.4451858
0.87,-0.23336325026310306,3.4861064,1.4486908,3.4861064,1.4486908
0.88,-0.23599494119609585,3.482861,1.4522848,3.482861,1.4522848
0.89,-0.23862490241295162,3.479513,1.455969,3.479513,1.455969
0.9,-0.24125311463746757,3.47606,1.4597438,3.47606,1.4597438
0.91,-0.24387955860625996,3.4724994,1.4636104,3.4724994,1.4636104
0.92,-0.24650421506890552,3.4688288,1.4675694,3.4688288,1.4675694
0.93,-0.24912706478808241,3.4650458,1.4716216,3.4650458,1.4716216
0.94,-0.2517480885397112,3.461148,1.4757674,3.461148,1.4757674
0.95,-0.254367267113096,3.4571332,1.4800074,3.4571332,1.4800074
0.96,-0.2569845813110647,3.4529996,1.4843422,3.4529996,1.4843422
0.97,-0.25960001195011057,3.448745,1.4887718,3.448745,1.4887718
0.98,-0.262213539860532,3.4443674,1.4932966,3.4443674,1.4932966
0.99,-0.2648251458865734,3.4398654,1.497917,3.4398654,1.497917
1.0,-0.2674348108865657,3.4352372,1.5026328,3.4352372,1.5026328
1.01,-0.27004251573306637,3.4304812,1.5074442,3.4304812,1.5074442
1.02,-0.2726482413129998,3.4255964,1.5123512,3.4255964,1.5123512
1.03,-0.2752519685277974,3.4205812,1.5173538,3.4205812,1.5173538
1.04,-0.27785367829353735,3.415435,1.5224514,3.415435,1.5224514
1.05,-0.2804533515410849,3.4101566,1.5276442,3.4101566,1.5276442
1.06,-0.28305096921623174,3.4047452,1.5329316,3.4047452,1.5329316
1.07,-0.2856465122798357,3.3992006,1.5383136,3.3992006,1.5383136
1.08,-0.28823996170796057,3.3935218,1.5437894,3.3935218,1.5437894
1.09,-0.29083129849201533,3.3877088,1.549359,3.3877088,1.549359
1.1,-0.2934205036388935,3.3817614,1.5550214,3.3817614,1.5550214
1.11,-0.29600755817111224,3.3756796,1.5607766,3.3756796,1.5607766
1.12,-0.2985924431269517,3.3694632,1.5666238,3.3694632,1.5666238
1.13,-0.3011751395605938,3.3631128,1.5725622,3.3631128,1.5725622
1.14,-0.30375562854226124,3.3566284,1.5785916,3.3566284,1.5785916
1.15,-0.306333891158356,3.3500106,1.5847112,3.3500106,1.5847112
1.16,-0.3089099085115982,3.34326,1.5909204,3.34326,1.5909204
1.17,-0.3114836617211647,3.3362733,1.5971719,3.336273727233272,1.5971721995315398
1.18,-0.31405513192282697,3.3292883,1.6035857999999998,3.329288710458715,1.60358613194885
1.19,-0.3166243002690899,3.3221598,1.6100867,3.322160195107568,1.610087064285721
1.2,-0.3191911479293298,3.3148907000000003,1.6166743,3.3148910810809387,1.616674697170511
1.21,-0.3217556560899323,3.3074833999999997,1.6233479,3.307483768146544,1.6233483300155407
1.22,-0.3243178059544302,3.2999402,1.6301068,3.299940556244394,1.6301072633225373
1.23,-0.32687757874364154,3.2922637,1.6369509,3.292264045246763,1.6369513968065155
1.24,-0.32943495569580683,3.2844559999999996,1.6438793,3.2844563350392333,1.643879830361845
1.25,-0.33198991806672706,3.2765193999999997,1.6508916,3.27651972556767,1.6508921642911534
1.26,-0.3345424471299005,3.2684559,1.6579874000000001,3.268456216769181,1.6579879984086752
1.27,-0.3370925241766604,3.2602678000000003,1.6651661999999998,3.260268108580587,1.6651668327537679
1.28,-0.3396401305163121,3.2519569,1.6724275,3.251957200937042,1.6724281674229626
1.29,-0.3421852474762696,3.2435254000000002,1.6797707000000002,3.2435256938296377,1.679771402333174
1.3,-0.34472785640219294,3.2349752,1.6871955,3.234975487205976,1.6871962375666945
