#Ca = 3
#strain rate = 1
#EB = 0.333333
#alpha = 0
#W = 0.333333
#Viscosity ratio = 1
#Reduced volume ratio = 0.8
#Base Timestep = 0.001
time, ts, Ca_eff, sa_error, vol_error
0.00000, 0.00100, 0.00000, 0.0053135, -0.0020230
0.00100, 0.00100, 0.00628, 0.0053107, -0.0020101
0.00200, 0.00100, 0.01257, 0.0053076, -0.0019973
0.00300, 0.00100, 0.01885, 0.0053042, -0.0019848
0.00400, 0.00100, 0.02513, 0.0053006, -0.0019725
0.00500, 0.00100, 0.03142, 0.0052967, -0.0019604
0.00600, 0.00100, 0.03770, 0.0052924, -0.0019485
0.00700, 0.00100, 0.04398, 0.0052880, -0.0019368
0.00800, 0.00100, 0.05026, 0.0052833, -0.0019253
0.00900, 0.00100, 0.05655, 0.0052783, -0.0019140
0.01000, 0.00100, 0.06283, 0.0052731, -0.0019029
0.01100, 0.00100, 0.06911, 0.0052676, -0.0018920
0.01200, 0.00100, 0.07539, 0.0052619, -0.0018813
0.01300, 0.00100, 0.08167, 0.0052560, -0.0018707
0.01400, 0.00100, 0.08795, 0.0052499, -0.0018604
0.01500, 0.00100, 0.09423, 0.0052436, -0.0018502
0.01600, 0.00100, 0.10051, 0.0052371, -0.0018402
0.01700, 0.00100, 0.10679, 0.0052304, -0.0018304
0.01800, 0.00100, 0.11307, 0.0052235, -0.0018207
0.01900, 0.00100, 0.11935, 0.0052164, -0.0018113
0.02000, 0.00100, 0.12563, 0.0052092, -0.0018020
0.02100, 0.00100, 0.13190, 0.0052017, -0.0017928
0.02200, 0.00100, 0.13818, 0.0051941, -0.0017839
0.02300, 0.00100, 0.14446, 0.0051864, -0.0017751
0.02400, 0.00100, 0.15073, 0.0051785, -0.0017664
0.02500, 0.00100, 0.15701, 0.0051705, -0.0017580
0.02600, 0.00100, 0.16328, 0.0051623, -0.0017497
0.02700, 0.00100, 0.16956, 0.0051539, -0.0017415
0.02800, 0.00100, 0.17583, 0.0051455, -0.0017335
0.02900, 0.00100, 0.18210, 0.0051369, -0.0017257
0.03000, 0.00100, 0.18837, 0.0051282, -0.0017180
0.03100, 0.00100, 0.19464, 0.0051194, -0.0017105
0.03200, 0.00100, 0.20091, 0.0051105, -0.0017031
0.03300, 0.00100, 0.20718, 0.0051015, -0.0016959
0.03400, 0.00100, 0.21345, 0.0050924, -0.0016888
0.03500, 0.00100, 0.21971, 0.0050831, -0.0016819
0.03600, 0.00100, 0.22598, 0.0050738, -0.0016751
0.03700, 0.00100, 0.23225, 0.0050644, -0.0016684
0.03800, 0.00100, 0.23851, 0.0050550, -0.0016619
0.03900, 0.00100, 0.24477, 0.0050454, -0.0016556
0.04000, 0.00100, 0.25103, 0.0050358, -0.0016493
0.04100, 0.00100, 0.25729, 0.0050261, -0.0016432
0.04200, 0.00100, 0.26355, 0.0050163, -0.0016373
0.04300, 0.00100, 0.26981, 0.0050065, -0.0016315
0.04400, 0.00100, 0.27607, 0.0049966, -0.0016258
0.04500, 0.00100, 0.28232, 0.0049867, -0.0016202
0.04600, 0.00100, 0.28858, 0.0049767, -0.0016148
0.04700, 0.00100, 0.29483, 0.0049666, -0.0016095
0.04800, 0.00100, 0.30109, 0.0049566, -0.0016043
0.04900, 0.00100, 0.30734, 0.0049464, -0.0015993
0.05000, 0.00100, 0.31359, 0.0049363, -0.0015944
0.05100, 0.00100, 0.31983, 0.0049261, -0.0015896
