#scaled = True
#volRat = 0.650
#viscRat = 1.00
alpha,lower,upper
0.250,2.75,2.88
0.375,2.60,2.76
0.500,2.47,2.65
0.625,2.57,2.77
0.750,2.38,2.60
0.875,2.57,2.81
1.000,2.25,2.50
